ID,Tweet_ID,Isi_Tweet,Tanggal_Tweet,Kandidat,Aplikasi,Lokasi User,Sentimen,,,,
-2120434840,JokowiPres,"RT @RintisBautista: capres jokowi,wacapres abraham samad. gubernur ahok. gua yakin koruptor abissss !",8/1/2013 4:32,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-2117220804,AnasSuyuti,"amin semoga kesampaian dan dukung trus ya buat pak Mahfud MD @YanuarWiratmaja: "" Presiden Mahfud Mahmodin , ..Amin @mohmahfudmd",11/7/2013 4:35,Mahfud,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1,,,,
-2116930654,wilman_willy,"Support sepenuhnya jadi Presiden""@jokowi_do2: Pemimpin harusnya menderita...bukan menikmati.""",8/23/2013 3:10,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Sby,1,,,,
-2113737275,KujangSangata,"RT @ediroberto1: Bukan dari PKB.Imin sdh pilih Rhoma Irama utk capres.Mahfud MD dibuang PKB,""@WoolseyChinnpzv: Siap Nyapres, Mahfud Mulai K...",9/19/2013 12:49,Mahfud,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,-1,,,,
-2111448042,rezabungul,"RT @okingokong94: Indonesia maju kalau, Presiden : Dahlan Iskan,Wakil Presiden : Jokowi,Penasehat Kepresidenan : Farhat Abbas",8/21/2013 15:57,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","Tanah Grogot, Kalimantan Timur",1,,,,
-2109374803,pehawege,"Jika. Janji. Nggak layak dipercaya. ""@temponewsroom: Nasional - Jika Jadi Presiden, Prabowo Janji Tambah Anggaran KPK""",2/22/2014 16:10,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-2109298311,despar54,Ruhut TimSes Edi Pramono Yakin Unggul Atas Capres Jokowi @AtapMiring @GalihKusuma @MandryGary  @bangadlin @LellyKustiandi @danieelst,9/1/2013 18:29,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Jakarta,-1,,,,
-2107510841,IstanaRakyatID,RT @andiistiabudi: @IstanaRakyat Salah satu mantan anggota PASKIBRAKA tahun 1960-an adalah mantan Presiden Megawati Soekarnoputeri  #Kebang ,8/18/2013 10:14,Megawati,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Jakarta - Indonesia,1,,,,
-2103496785,despar54,Hanura: Capres Wiranto Yakin Kalahkan Jokowi kami rajin blusukan ke Kampung2 @KodratArief @Agus_Lamarauna @haman_1 @hen_p_astoro @m_khariri,11/28/2013 10:39,Wiranto,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Jakarta,1,,,,
-2102610725,Gresta8,Presiden Joko Widodo & Wakilnya Tri Rismaharini. #KaliAja,2/12/2014 13:15,None,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",,1,,,,
-2098164078,kuntoadji,Agenda 2014 presiden mahfud: 1.tegakan hukum.2hukum gantung penegak hukum hitam.3.nasionalisasi SDA @agejooss @Mention_Mahfud @mohmahfudmd,8/23/2013 23:53,Mahfud,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Milano,1,,,,
-2095992780,MahfudMD_Info,RT @Amirudin_Alatas: @MahfudMD_Info @kompascom  saya dukung mahfud jd presiden jk wakilnya. Insya allah makmur,11/4/2013 5:41,JK,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Indonesia,1,,,,
-2095124975,masbedjo,"bila PDIP deklarasi capres Jokowi sblm pileg, suka tdk suka musti pilih PDIP untuk pileg DPR @Him_NK @GA17B @despar54 @herilatief @GimanaBro",8/28/2013 1:06,Jokowi,"<a href=""http://www.partaisocmed.com"" rel=""nofollow"">PartaiSocMed</a>",Dibawah Sinar Remboelan,1,,,,
-2095069567,despar54,"Charta Politika: Ical cuma ""underdog"" tak mampu kalahkan capres Prabowo JokoWi @krasn4y4 @masbedjo @eddies_song @Anti_Jilat @irwanjuanda1",9/18/2013 13:59,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Jakarta,-1,,,,
-2090873041,DarsonoDodi,@AisyaSuherman_ tong di pilih jadi presiden ARB na,8/2/2013 10:50,Aburizal,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Cikampek,1,,,,
-2084386345,jokowi_all,"[koswara] Emak pasti gak rela RT ""@ LatiefSiregar: SP kelaut mas? :D RT @ Rachmayanto: skemanya bisa begini: Capres Prabowo cawapresnya...",11/17/2013 8:49,Prabowo,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",,-1,,,,
-2077442658,IreneLy95993590,24/09/2013 21:42 Sosok Gubernur Jokowi dan Mantan Wakil Presiden Jusuf Kalla dinyatakan sebagai 2 tokoh terpopuler dalam perbincangan...,9/24/2013 15:35,JK,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",Haiti,1,,,,
-2076184276,85646525167,Dukungan Capres Wiranto-Harry Tanu.,11/26/2013 6:10,Wiranto,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Bali,1,,,,
-2071023313,IMS_NET,#Todayshistory 20 Agustus 2003. tahap pembangunan awal jembatan suramadu diresmikan oleh mantan presiden Megawati Soekarno Putri.,8/19/2013 23:52,Megawati,web,Indonesia,1,,,,
-2068517622,Caleg_Bersih,"RT @wilman_willy: Support sepenuhnya jadi Presiden""@jokowi_do2: Pemimpin harusnya menderita...bukan menikmati.""",8/23/2013 3:17,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-2067176965,NilafaelVidies,om @farhatabbaslaw gk ada niatan bwt ke banyuwangi gt ??? Capres ARB uda ke bwi lhoo . Masakkk om belom :D,11/4/2013 1:05,Aburizal,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","Banyuwangi , Jawa Timur",-1,,,,
-2063822126,TuitIndonesia,#TuitIndonesia Rakernas PAN Tidak Bahas Pencalonan Presiden Hatta Rajasa #Indonesia #Tuit,8/22/2013 10:42,Hatta,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",Sosial Media Indonesia,-1,,,,
-2060596870,novizar66,RT @bimaanggara18: @JokowiCentre Hah? Gak malukah Golkar bikin pernyataan itu? Bahkan ical tidak pantas jadi cawapres mendapingi capres Jok...,9/14/2013 13:49,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>","Bogor, Jawa Barat",-1,,,,
-2059682416,WJB__,"""@tsetiady: bahaya tan malakaism itu apa-apa mau dinasionalisasi tak ada perusahaan swasta/publik, jadi ingat program capres prabowo nih...""",2/9/2014 11:21,None,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,-1,,,,
-2057228506,davyhukom,"RT @dalgonyes: GOLKAR ! Daripada ribt dan ribet terus soal capres ARB ayo bikin konvensi terbuka,berani?kalau berani itu baru partainya rak...",9/29/2013 2:04,Aburizal,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Jakarta - Indonesia,-1,,,,
-2051740558,AgungpumA,@Fakhmuda bagus banget.. Masalahnya PDI P mau ngga kursi wakil buat pak Anis.. Kursi capres Jokowi aja belum dapet ijin dr bu Mega.. Hehehe,8/27/2013 15:50,Jokowi,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",Blitar-Jakarta-Kuala Lumpur,-1,,,,
-2051708926,wira_armawa,"RT @blijunk: Dear rekan radiografer Berdoalah berita PDI-P memutuskan pasangan presiden Jokowi   Rieke benar adanya, TBR pasti jadi kenyata",2/6/2014 12:55,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,1,,,,
-2049988820,kasanmulyono,"RT @dahlanis_gresik: Rt @anabafifi: Hsl pencarian Google diantara para tokoh #capres, dahlan iskan tempati angka tertinggi (4.6 jt) @iskan_...",9/5/2013 14:23,Dahlan,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>","Sumbawa, Indonesia",1,,,,
-2048798961,TrioSBY,: ORANG CERDAS ADALAH ORANG YANG MAMPU MELAKUKAN KOMUNIKASI DENGAN TOKOH2 BESAR GERINDRA MENANG PRABOWO PRESIDEN PRABOWO PRESIDEN IND...,2/4/2014 7:19,None,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,1,,,,
-2048798961,TrioSBY,: ORANG CERDAS ADALAH ORANG YANG MAMPU MELAKUKAN KOMUNIKASI DENGAN TOKOH2 BESAR GERINDRA MENANG PRABOWO PRESIDEN PRABOWO PRESIDEN IND...,2/4/2014 7:19,None,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,1,1,,,
-2047954640,bambang00N,"RT @iwanfebri011: Capres Jokowi terganjal bus bekas, jika terbukti terlibat, habis deh. #busbekas @Fahrihamzah",2/10/2014 9:47,None,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,-1,,,,
-2046407671,Presiden2014com,"RT @yunartowijaya: Woiii.. :p RT @provokatrok: kl gt presiden jokowi, wapres jokowi, menteri jokowi, gub jokowi, semua aja jokowi. Blm jg b ",8/2/2013 6:19,Jokowi,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1,,,,
-2045816835,ekieriansah,"Ga mungkin lu aja bego!!!! ""@farhatabbaslaw: Org bego ga usah pilih gue jd presiden, jk gue jd presiden,pr org bego gue jadiin pinter semua!",11/27/2013 8:55,JK,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-2040267637,despar54,"Charta Politika: Ical cuma ""underdog"" tak mampu kalahkan capres Prabowo JokoWi @Alex4_110 @Mbi_Lung @hen_p_astoro @murnisaroso @Khoiri_yay45",9/18/2013 14:01,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Jakarta,-1,,,,
-2030782326,mrjohanefendi,RT @Ochiochio47: Gue menunggu saat dimana Jokowi jadi presiden. Jokowi punya kharisma.,9/12/2013 23:45,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Indonesia,1,,,,
-2023174389,Love_phobia,"RT @danuwijaya1982: Jokowi cocoknya sama HT, pas jd presiden, jokowi ditarik di PBB, jd lengkap, gubernur jakata kristen, presidennya krist...",9/28/2013 22:53,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",NKRI,-1,,,,
-2018759542,depri80745765,"RT @arsyad_amran: @MS_9910  yg layak sbg capres @jokowi_do2   kompetiter yg layak bertanding @mohmahfudmd & @Yusrilihza_Mhd, mrk smua InsyA...",9/28/2013 18:23,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",semarang,1,,,,
-2018373945,KujangSangata,"RT @oktariands: Jokowi nyapres 2014 OK, tp klo 2019 Hebat. Klo utk 2014 ini bgsny, Mahfud MD Capres, Dahlan Iskan Cawapres. #Pilpres2014",9/12/2013 16:07,Dahlan,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-2018316312,02tanggulang,"Ruhut menteri kampungan, asseek! @Ricky_Nov1978: Jokowi presiden, prabowo wapres, ahok gub dki, sby ketua mpr, mega ketua dpr,""",11/19/2013 3:17,Prabowo,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>",somewhere around you,-1,,,,
-2014957765,forzafauzan,@PartaiSocmed FUI kemaren demo tolak Miss World tp poster yg dibawa Pasangan capres Wiranto-Tanoe. #lha #begimana,9/7/2013 5:49,Wiranto,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Somewhere in Neverland,-1,,,,
-2012244597,MySeedsRecords,"Kerenan Ahok jadi Capres. Jokowi pegang Jkt. ""@Herrreza: Apakah saudara2 semua benar2 menginginkan Jokowi maju jadi calon presiden? #survey""",2/3/2014 14:53,None,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,-1,,,,
-2005659311,Chirssyband,"RT @TrioMacan2000: Ada yg waras di PDIP @S05sinawang: Guruh masih berfikir jernih""@rezkykamal7: Guruh Sukarno: Blm Waktunya Presiden, Jokow...",9/13/2013 22:23,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,-1,,,,
-2004465444,despar54,Tugas Ramadan Pohon Bunuh Karakter Capres Jokowi @parasiit @bert_ @bert_dave @meriana0509 @semiaji_w @wahyudi_sudibya @dir1ku,2/6/2014 9:09,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-2001770206,meli_anelgi,Calon presiden ARB??? Hellow @tvOneNews emang calon2 presiden yg bakal kita pilih udah ditentukan??? ??L??  kaaaaaannn???,11/4/2013 22:33,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,-1,,,,
-2000814711,WimpyTwitty,@Gerindra Bp. Capres Prabowo akan memiliki sbuah ENERGI jika dimungkinkan berpasangan dngan Bp. Jokowi d Pilpres 2014. Saya sangat mndukung!,9/27/2013 15:59,Prabowo,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Yogyakarta,1,,,,
-2000373948,SandiTribowoP,"Capres @jokowi_do2 & Cawapres @aniesbaswedan , 1x putaran, 90% DPT milih anda. Yakin deh",9/21/2013 3:38,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Jakarta,1,,,,
-1998515652,Gorontalo6,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta...",9/14/2013 11:21,Hatta,,,-1,,,,
-1997950664,KujangSangata,"RT @p_pinang: 2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi ...",9/14/2013 11:23,Hatta,,,-1,,,,
-1997322643,obiesomad,Mantap ihh capres wiranto nyamar jadi tukang becak ~ heu ^^,2/7/2014 8:58,None,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>",,-1,,,,
-1993649637,Ariefm22,"RT @despar54: Charta Politika: Ical cuma ""underdog"" tak akan mampu bersaing dengan capres Prabowo JokoWi @kalamanaya @HelmiHelmimoze @po_he...",9/18/2013 16:10,Prabowo,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",INDONESIA,-1,,,,
-1991843890,IndoBerkicau,"RT @davidridwanbetz: Capres prabowo subianto juga aktif dan kreatif beliau disosial media ""harus didukunglah oleh kader2nya biar laju ""para...",9/25/2013 3:58,Prabowo,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",Apa kata mereka?,1,,,,
-1991756869,rimadjarger,Emang negara kita masih di pimpin presiden megawati gituh... :p RT @non_izma :harga minyang gorengnya moneter :D,8/23/2013 9:06,Megawati,web,,-1,,,,
-1986925340,dautys,"RT @TrioMacan2000: Ada yg waras di PDIP @S05sinawang: Guruh masih berfikir jernih""@rezkykamal7: Guruh Sukarno: Blm Waktunya Presiden, Jokow...",9/13/2013 22:24,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Nusantara,-1,,,,
-1986415078,KujangSangata,"RT @PROREPUBLIK: Hrsnya PDIP capreskan ybs ""@despar54: 10 Lembg Survey: Capres Jokowi Suara 60%! 11 Capres Konvensi PD dibawah 2% @andesh_  ",8/31/2013 1:44,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-1983249764,feri_latief,"Ahok presiden, Jokowi beresin Jakarta dulu deh!",2/4/2014 8:37,None,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-6.2856921, 106.7280966",-1,,,,
-1982712480,ediroberto1,"Tunggu.Mega ingin capres.Jokowi tetap gub.""@PDIP_Online: PDIP Projo: Jalan Sudah Mulus, Deklarasikan Jokowi Sebelum Pileg",2/24/2014 7:36,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1,,,,
-1982537709,KujangSangata,"RT @sipandu: >> ""Merinding pak setiap baca berita soal jokowi. Mudah2an beliau mau maju jadi capres"" jokowi bukan milik jawa lagi indeed.",9/21/2013 3:24,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-1982068300,held_92,Ini alasan gue ntar kalo mau pilih presiden Prabowo : Pilih wiranto : worasah roma : ra usah,2/14/2014 16:48,None,"<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>",,-1,,,,
-1980291687,andypakeye,"Kalo kata om FARHat: brni sumpah pocong? ""@kompascom: #HeadlineNews Wartawan Bule Tanya soal Capres, Jokowi Jawab Enggak ""Mikir""",2/7/2014 16:04,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,-1,,,,
-1979782774,RustamIbrahim,"Se7, sebagai Presiden Jokowi bisa berbuat lebih banyak lagi, termasuk untuk Jakarta @hantayuda @danimulyana",8/12/2013 3:49,Jokowi,web,Jakarta,1,,,,
-1978463489,Caleg_Bersih,"RT @HenryBarus1: RT""@alljet99: @jokowi_do2 @Jokowi_RI @Jokowi2014 @Jokowi_Presiden #jokowi Ayo dukung Tim Sukses Gratis jokowi for RI-1 201...",9/12/2013 19:04,Jokowi,"<a href=""http://roundteam.co"" rel=""nofollow"">RoundTeam</a>",,1,,,,
-1975775544,Presiden2014com,"RT @RustamIbrahim: 10. Sebaliknya, kalau tidak mau punya Presiden Prabowo, dapat mulai dengan tidak memilih Gerindra @fadjroeL",2/21/2014 1:56,None,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,-1,,,,
-1973703061,kirana_nidianti,"iya aku lagi mempromosiakan wkk ""@indracula__: Apa nih kisahnya promosi capres ARB kh haha ""@kirana_nidianti: berani berpikir, berani bermim",9/17/2013 13:39,Aburizal,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",,-1,,,,
-1972144739,deddysitorus,"Wakakak, jgn becanda ahhh. Itu kaya Messi disuruh jd penjaga gawang, kapan bikin gol?  ""@WimpyTwitty  Prabowo  jd Presiden & Jokowi jd Wakil",11/20/2013 14:20,Jokowi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jakarta, Indonesia",-1,,,,
-1969970453,yoyok_satriyo,"RT @Mico_Ardian: Yg lain bikin masalah, boleh nyalon presiden. Jokowi suruh nyelesaiin masalah dulu baru boleh nyalon presiden. Njenengan s...",9/25/2013 1:59,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",Sleman,-1,,,,
-1969433522,Kampanye1,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres...",9/14/2013 11:38,Hatta,,,-1,,,,
-1968807105,bagoesrianto,"RT @vicious_punk: @tar_bi Saya bru akn memilih presiden, jk sdh ada calonnya yg mau menghukum mampus koruptor #Selama_ini_belumAda",9/26/2013 7:17,JK,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",,-1,,,,
-1964895149,brlnmtta,"*beberapa hari kemudian* NasDem: Surya Paloh maju sbg Capres. ""@kompascom Soal Capres, Surya Paloh: Partai NasDem Tahu Diri""",8/26/2013 12:34,Paloh,web,ID,-1,,,,
-1964012625,daraqutnie,Meuni sedih! =)) RT @harisdarusalam: Karena mereka akan menjadi presiden hanya di sinetron RT @daraqutnie: Kaget ada pasangan capres wiranto,2/1/2014 13:44,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>","-6.90058, 107.60725",-1,,,,
-1961797246,azharilyas2,"Dahlan presiden,mahfud wkl,ekonomi maju,hukum ditegakkan jd adil n makmur,mantap",8/29/2013 11:25,Mahfud,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1,,,,
-1957252406,yogaandri_,"Presiden Jokowi, Wapres Bu Risma, Ketua DPR Ahok,,,, mungkin menjadi formasi yang WAW.... ^^",2/13/2014 1:04,None,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",,1,,,,
-1954966115,rizalasurya,Sperti memilih anda jd presiden adl orang yg goblok! RT @farhatabbaslaw: Suatu negara dpt salah memiliki/memilih presiden jk cuma 2 hal saja,8/28/2013 22:48,JK,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",Story of the world,-1,,,,
-1951088871,nengdyla,"Balon presiden ARB ini iklan kampanye nya kaya ga dr hati,aga2 empet liat muke nye... #twitsadis",9/13/2013 13:58,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",Di hati kakak Yusuf Shaleh,-1,,,,
-1949847531,koeztri,@alankomar_ @tutihand_ emang ada #capres jokowi ya ?,9/19/2013 0:30,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",antara meja dan jalanan,-1,,,,
-1949013371,renorayz,@Prabowo08 mohon maaf lahir batin ya pak capres Prabowo yang terhormat..,8/7/2013 14:53,Prabowo,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Saiyan's World,1,,,,
-1948242680,SumBar5,"2013PAN membuka kemungkinan evaluasi pencapresan Ketua Umumnya, Hatta Radjasa. Jika tidak menjadi capres, Hatta bisa menjadi cawapres...",9/14/2013 12:00,Hatta,,,-1,,,,
-1945877505,PR_Indonesia,RT @BeritaPKB: 24. Demikian halnya mereka sirik saat PKB melangitkan nama capres Mahfud MD dan Jusuf Kalla.,11/2/2013 3:12,Mahfud,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",Polanharjo,1,,,,
-1944234599,akang_robo,"Cie cie.. Pas orba ga dapet bagian.. RT @republikaonline: Jika Jadi Presiden, Wiranto Ingin Berantas Politik Dinasti",11/19/2013 5:14,Wiranto,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",,-1,,,,
-1944150835,dewasudha,Capres prabowo paling. Maknyus kata bondan,2/27/2014 3:21,None,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry</a>",,1,,,,
-1938821477,Presiden2014com,"RT @hm_dermawanzain: 9.@Presiden2014com @mahfud_md2014 berikut nya kita bahas calon presiden ARB,bisa kami tambahkan pak Mahfud bersih dr p",11/30/2013 0:13,Aburizal,"<a href=""http://presiden2014.com/news"" rel=""nofollow"">Presiden2014.com TW</a>",,1,,,,
-1938699811,adimust,"Ngelihat iklan capres #ARB lama2 jadi geli juga, dibuat dramatisir biar penonton terharu kali yak ? #Ehhh",11/4/2013 15:02,Aburizal,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for iPhone</a>",Indonesia,-1,,,,
-1936205610,anto_dwi,HANURA : HAri taNoe Untuk Ri satU. Emoh presiden wiranto. Muka penjahat.,9/13/2013 13:58,Wiranto,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",Kitchen,-1,,,,
-1931053092,PS_SumutRaya,"Landslide :) ""@despar54: SurveiSSS: Capres Jokowi 45,8%, JK 9%, Dahlan 7,5%, Prab 6,8% @Him_NK @krasn4y4 @Mbi_Lung @epiliang @MPI_Community""",9/13/2013 6:01,Jokowi,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry�</a>",,1,,,,
-1927945266,hendiyola,Ahok aja presiden..jokowi ttp gub RT @Herrreza: Apakah saudara2 semua benar2 menginginkan Jokowi maju jadi calon presiden? #survey,2/3/2014 15:34,None,"<a href=""http://www.myplume.com/"" rel=""nofollow"">PlumeforAndroid</a>",,-1,,,,
